"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US21085","Grayson County, Kentucky","26129","*****","25780","*****","24910","189","346","92","109","61","62","76","0","21","113","114","240","124","61","80","179","83","349","*****","255","75","0","21","0","21","0","21","15","24","51","55","28","37","28","37","0","21",
"0500000US21087","Green County, Kentucky","11044","*****","10978","97","10425","8","339","81","0","18","37","45","0","18","0","18","177","75","5","8","172","74","66","97","66","97","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"0500000US21089","Greenup County, Kentucky","36012","*****","35637","*****","34688","14","283","77","25","23","137","47","0","24","9","14","495","90","4","8","491","91","375","*****","226","102","3","6","0","24","0","24","0","24","112","92","34","35","23","28","11","22",
"0500000US21091","Hancock County, Kentucky","8700","*****","8573","*****","8334","16","82","37","11","16","55","54","0","16","0","16","91","61","0","16","91","61","127","*****","74","59","39","43","0","16","0","16","0","16","0","16","14","16","14","16","0","16",
"0500000US21093","Hardin County, Kentucky","107699","*****","101676","*****","82147","79","12189","567","252","94","2200","227","314","66","133","87","4441","656","29","34","4412","651","6023","*****","3731","511","262","137","30","32","0","27","12","19","1225","438","763","319","185","107","578","294",
"0500000US21095","Harlan County, Kentucky","27548","*****","27310","*****","26224","15","706","43","18","19","115","17","0","21","20","20","227","48","7","10","220","47","238","*****","67","59","18","33","6","11","0","21","0","21","88","41","59","64","59","64","0","21",
"0500000US21097","Harrison County, Kentucky","18630","*****","18210","*****","17466","27","319","113","0","18","0","18","0","18","27","35","398","113","0","18","398","113","420","*****","244","124","0","18","0","18","0","18","0","18","156","134","20","26","20","26","0","18",
"0500000US21099","Hart County, Kentucky","18531","*****","18210","*****","17002","18","801","111","80","46","87","58","4","7","11","18","225","104","0","18","225","104","321","*****","253","85","0","18","0","18","0","18","0","18","62","84","6","10","0","18","6","10",
"0500000US21101","Henderson County, Kentucky","46252","*****","45160","*****","40237","198","3294","195","39","29","180","57","0","24","167","198","1243","204","99","135","1144","198","1092","*****","670","169","45","55","31","37","0","24","0","24","284","155","62","62","46","62","16","18",
"0500000US21103","Henry County, Kentucky","15677","*****","15173","*****","14386","18","555","71","45","34","11","17","17","30","0","18","159","69","0","18","159","69","504","*****","186","117","0","18","0","18","0","18","0","18","291","122","27","34","4","8","23","30",
"0500000US21105","Hickman County, Kentucky","4625","*****","4563","50","4032","11","401","66","14","19","15","17","0","11","3","5","98","64","0","11","98","64","62","50","26","33","0","11","0","11","0","11","0","11","13","17","23","32","23","32","0","11",
"0500000US21107","Hopkins County, Kentucky","45985","*****","45090","*****","40829","8","2869","246","152","46","251","59","0","24","13","14","976","264","3","6","973","263","895","*****","571","137","5","10","0","24","0","24","0","24","208","112","111","70","99","67","12","15",
"0500000US21109","Jackson County, Kentucky","13369","*****","13368","2","13282","65","16","17","3","5","0","18","0","18","0","18","67","61","0","18","67","61","1","2","1","2","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"0500000US21111","Jefferson County, Kentucky","764378","*****","726222","*****","523981","194","160658","1140","903","231","20260","460","329","90","1128","317","18963","1138","733","319","18230","1065","38156","*****","28817","1000","1706","372","189","94","116","83","47","50","4738","944","2543","643","784","252","1759","604",
"0500000US21113","Jessamine County, Kentucky","51667","*****","50009","*****","46290","29","2027","264","131","66","719","91","0","27","19","25","823","280","19","22","804","279","1658","*****","1203","224","4","9","169","169","0","27","4","9","154","117","124","111","65","73","59","84",
"0500000US21115","Johnson County, Kentucky","23064","*****","22978","85","22487","21","116","59","12","20","252","142","0","21","0","21","111","108","0","21","111","108","86","85","14","21","0","21","0","21","14","22","0","21","24","31","34","47","34","47","0","21",
"0500000US21117","Kenton County, Kentucky","163987","*****","159051","*****","145805","44","7121","381","144","66","2057","198","53","72","43","41","3828","428","18","17","3810","429","4936","*****","2486","477","129","106","39","62","0","27","23","29","2031","488","228","131","168","130","60","42",
"0500000US21119","Knott County, Kentucky","15690","*****","15544","*****","15255","6","64","47","2","3","15","16","16","20","3","6","189","55","9","16","180","57","146","*****","113","72","0","18","0","18","0","18","0","18","0","18","33","72","31","67","2","10",
"0500000US21121","Knox County, Kentucky","31424","*****","31077","*****","30167","24","387","171","159","132","122","146","0","24","0","24","242","117","0","24","242","117","347","*****","311","62","4","8","15","30","0","24","0","24","3","5","14","31","0","24","14","31",
"0500000US21123","Larue County, Kentucky","14102","*****","13650","*****","12924","29","511","71","1","3","48","54","0","18","18","29","148","44","0","18","148","44","452","*****","150","122","0","18","13","22","0","18","0","18","224","141","65","69","7","13","58","66",
"0500000US21125","Laurel County, Kentucky","59901","*****","58994","*****","57462","27","423","115","305","68","326","82","0","27","0","27","478","160","33","41","445","152","907","*****","684","120","0","27","0","27","0","27","0","27","35","36","188","101","161","109","27","47",
"0500000US21127","Lawrence County, Kentucky","15844","*****","15703","*****","15405","9","59","57","6","12","70","81","0","18","0","18","163","83","6","9","157","85","141","*****","86","39","0","18","0","18","0","18","0","18","6","11","49","41","8","11","41","40",
"0500000US21129","Lee County, Kentucky","6717","*****","6662","50","6500","16","85","49","22","27","17","18","0","16","0","16","38","37","0","16","38","37","55","50","37","49","0","16","0","16","18","27","0","16","0","16","0","16","0","16","0","16",
"0500000US21131","Leslie County, Kentucky","10648","*****","10581","*****","10410","17","13","8","0","18","42","54","0","18","10","17","106","56","5","8","101","56","67","*****","0","18","0","18","0","18","0","18","0","18","65","15","2","15","0","18","2","15",
"0500000US21133","Letcher County, Kentucky","23011","*****","22840","*****","22485","9","67","62","43","26","57","6","0","21","0","21","188","65","6","9","182","65","171","*****","115","38","0","21","0","21","0","21","0","21","25","24","31","22","20","25","11","14",
